Dataset,D,Method,Gamma,Clusters,Gap,Train_Errors,Test_Errors,Time,Iterations
breast_cancer_,4,Univariate,0.0,2,0.0,287,76,0.04067397117614746,1
breast_cancer_,4,Univariate,0.2,91,32.26743248039754,34,13,120.10953903198242,1
breast_cancer_,4,Univariate,0.4,182,17.875643037398177,32,9,120.14217400550842,1
breast_cancer_,4,Univariate,0.6,273,7.058821868512502,27,9,120.30071306228638,1
breast_cancer_,4,Univariate,0.8,364,5.08083023537408,21,7,120.23272204399109,1
breast_cancer_,4,Univariate,1.0,455,6.807510139082128,26,12,120.4472758769989,1
breast_cancer_,4,Heuristic (FhS),0.0,2,0.8869177634328684,61,17,120.32060718536377,6
breast_cancer_,4,Heuristic (FhS),0.2,91,NaN,34,10,120.58386898040771,5
breast_cancer_,4,Heuristic (FhS),0.4,182,1.3363025977054348,38,11,120.31761288642883,1
breast_cancer_,4,Heuristic (FhS),0.6,273,2.2471905062493245,57,21,120.78228497505188,1
breast_cancer_,4,Heuristic (FhS),0.8,364,7.058821868512502,31,10,120.7943320274353,1
breast_cancer_,4,Heuristic (FhS) with shifts,0.0,2,1.3363025977054348,0,0,122.53872990608215,6
breast_cancer_,4,Heuristic (FhS) with shifts,0.2,91,0.6637166673193214,0,0,120.8979868888855,2
breast_cancer_,4,Heuristic (FhS) with shifts,0.4,182,1.5624996512277565,41,12,120.47548389434814,1
breast_cancer_,4,Heuristic (FhS) with shifts,0.6,273,2.2471905062493245,57,21,121.11965298652649,1
breast_cancer_,4,Heuristic (FhS) with shifts,0.8,364,7.058821868512502,8,3,120.96895098686218,1
breast_cancer_,4,Exact (FeS),0.0,2,NaN,36,11,120.32173299789429,7
breast_cancer_,4,Exact (FeS),0.2,91,0.6637166673193214,81,19,120.17148494720459,2
breast_cancer_,4,Exact (FeS),0.4,182,2.708803000270203,30,8,120.39313387870789,1
breast_cancer_,4,Exact (FeS),0.6,273,3.409090134297697,41,7,120.54892897605896,1
breast_cancer_,4,Exact (FeS),0.8,364,5.813952136290201,32,8,121.02215600013733,1
ecoli_,2,Univariate,0.0,8,0.0,154,33,0.04271721839904785,1
ecoli_,2,Univariate,0.2,53,0.0,67,20,0.7895510196685791,1
ecoli_,2,Univariate,0.4,107,0.0,50,16,1.9697928428649902,1
ecoli_,2,Univariate,0.6,160,0.0,48,15,4.7967000007629395,1
ecoli_,2,Univariate,0.8,214,0.0,47,15,6.384165048599243,1
ecoli_,2,Univariate,1.0,268,0.0,47,15,86.9097170829773,1
ecoli_,2,Heuristic (FhS),0.0,8,0.0,47,15,10.989635944366455,9
ecoli_,2,Heuristic (FhS),0.2,53,0.0,48,15,41.017492055892944,8
ecoli_,2,Heuristic (FhS),0.4,107,0.0,47,15,35.6188850402832,5
ecoli_,2,Heuristic (FhS),0.6,160,0.0,47,15,16.974642992019653,3
ecoli_,2,Heuristic (FhS),0.8,214,0.0,47,15,21.36626410484314,2
ecoli_,2,Heuristic (FhS) with shifts,0.0,8,0.0,47,15,11.037642002105713,9
ecoli_,2,Heuristic (FhS) with shifts,0.2,53,0.0,48,15,40.61236906051636,8
ecoli_,2,Heuristic (FhS) with shifts,0.4,107,0.0,47,15,36.30842304229736,5
ecoli_,2,Heuristic (FhS) with shifts,0.6,160,0.0,47,15,17.026197910308838,3
ecoli_,2,Heuristic (FhS) with shifts,0.8,214,0.0,47,15,19.418052911758423,2
ecoli_,2,Exact (FeS),0.0,8,NaN,83,21,120.00661301612854,14
ecoli_,2,Exact (FeS),0.2,53,3.3427509999423197,48,15,120.49662804603577,5
ecoli_,2,Exact (FeS),0.4,107,4.706973420050345,75,17,120.50000715255737,2
ecoli_,2,Exact (FeS),0.6,160,NaN,49,17,120.03500413894653,8
ecoli_,2,Exact (FeS),0.8,214,0.0,47,15,104.59600305557251,2
ecoli_,3,Univariate,0.0,8,0.0,154,33,0.3471658229827881,1
ecoli_,3,Univariate,0.2,53,0.0,74,23,21.630097150802612,1
ecoli_,3,Univariate,0.4,107,2.277176571517015,37,12,120.04035997390747,1
ecoli_,3,Univariate,0.6,160,17.12200734028426,42,14,120.05532097816467,1
ecoli_,3,Univariate,0.8,214,19.111102617287724,42,11,120.07055711746216,1
ecoli_,3,Univariate,1.0,268,15.517234690847117,36,12,120.11869502067566,1
ecoli_,3,Heuristic (FhS),0.0,8,NaN,42,12,120.00493597984314,12
ecoli_,3,Heuristic (FhS),0.2,53,3.232319257869283,87,29,120.0296139717102,1
ecoli_,3,Heuristic (FhS),0.4,107,13.657542313913089,56,16,120.05623388290405,1
ecoli_,3,Heuristic (FhS),0.6,160,14.042547215937354,36,11,120.10009503364563,1
ecoli_,3,Heuristic (FhS),0.8,214,14.529908320552,35,10,120.16751098632812,1
ecoli_,3,Heuristic (FhS) with shifts,0.0,8,3.412697058453557,42,12,120.50153112411499,3
ecoli_,3,Heuristic (FhS) with shifts,0.2,53,3.16205408614463,0,0,120.03137993812561,1
ecoli_,3,Heuristic (FhS) with shifts,0.4,107,12.184868829887046,53,15,120.05058884620667,1
